Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
TQQQ,ProShares UltraPro QQQ,"$36,576,600",37.16%,"71,896,888",$72.03,-1.11%,13.79%,-5.65%,63.12%,53.56%,16.93%,"-$3,075,225,775.00","-$467,755,365.00","$1,423,803,705.00","-$4,734,209,637.50","-$15,426,089,652.50","-$3,138,705,102.50",Leveraged Equities,2010-02-09,0.82%,N/A,$0.35,2026-06-24,$0.17,0.49%,0.00,3.71,116,65.50%,40%,20%,1099,$59.11,$78.47,$70.31,$73.60,51.30,A,A,N/A,A-,B,B+,A-,0.0,N/A,N/A,N/A,N/A,N/A
SOXL,Direxion Daily Semiconductor Bull 3X ETF,"$22,373,800",214.85%,"65,750,272",$132.33,0.20%,15.35%,-31.24%,451.71%,75.64%,23.66%,"-$9,708,041,850.00","$123,069,950.00","$4,440,310,450.00","-$16,756,644,200.00","-$18,425,130,900.00","-$14,573,884,850.00",Leveraged Equities,2010-03-11,0.75%,N/A,$0.01,2025-09-23,$0.01,0.01%,0.00,5.73,31,71.06%,40%,20%,1099,$93.98,$187.91,$122.05,$141.30,45.32,B,A,N/A,C+,C,B+,A-,6.92,80.63%,66.38%,53.26,0.00%,10.63%
QLD,ProShares Ultra QQQ,"$13,864,700",28.12%,"4,865,327",$90.13,-0.74%,9.01%,-3.23%,46.10%,41.12%,18.55%,"$233,846,370.00","$9,425,025.00","$133,101,245.00","$782,199,170.00","$125,239,635.00","$1,002,380,865.00",Leveraged Equities,2006-06-19,0.95%,N/A,$0.11,2026-06-24,$0.06,0.12%,0.00,2.46,111,56.36%,40%,20%,1099,$78.93,$95.21,$88.71,$91.43,52.02,A,A,N/A,B+,A-,B-,A,6.41,63.24%,44.39%,61.85,4.85%,8.25%
SSO,ProShares Ultra S&P 500,"$8,343,870",22.88%,"3,348,655",$70.88,-0.34%,7.23%,3.98%,40.29%,35.16%,18.11%,"-$677,470,710.00","$48,955,490.00","-$61,040,125.00","-$1,060,888,575.00","-$1,129,767,275.00","-$636,451,500.00",Leveraged Equities,2006-06-19,0.87%,N/A,$0.41,2026-06-24,$0.13,0.57%,0.00,2.01,510,52.59%,40%,20%,1099,$63.87,$71.22,$70.54,$71.34,60.54,A,A,N/A,B,A-,B,A,6.33,57.71%,41.84%,91.2,7.93%,7.28%
SPXL,Direxion Daily S&P 500 Bull 3X ETF,"$7,209,370",32.56%,"2,042,973",$291.20,-0.56%,10.76%,5.59%,59.48%,48.74%,21.06%,"-$388,469,150.00","-$132,857,800.00","-$215,234,700.00","-$881,557,100.00","-$1,916,285,150.00","-$1,180,476,000.00",Leveraged Equities,2008-11-05,0.84%,N/A,$1.43,2026-06-23,$0.52,0.49%,0.00,3.02,504,44.28%,40%,20%,1099,$249.65,$293.68,$289.24,$294.12,59.97,A-,A,N/A,B+,B+,B,B+,6.3,56.52%,40.73%,90.32,7.50%,6.88%
TECL,Direxion Daily Technology Bull 3X ETF,"$6,011,260",73.47%,"1,084,637",$203.42,-0.77%,16.61%,-3.12%,109.71%,62.92%,28.11%,"-$928,717,700.00","-$4,126,300.00","$57,099,600.00","-$1,056,582,900.00","-$2,312,955,850.00","-$2,096,062,150.00",Leveraged Equities,2008-12-17,0.87%,N/A,$8.35,2026-06-23,$0.21,4.10%,0.00,4.13,74,62.05%,40%,20%,1099,$156.13,$215.81,$194.26,$210.34,52.91,B+,A-,N/A,B+,B-,B,B+,6.78,77.87%,59.59%,30.86,2.11%,10.07%
UPRO,ProShares UltraPro S&P500,"$5,696,350",32.26%,"2,573,367",$152.43,-0.53%,10.80%,5.57%,58.96%,48.50%,20.64%,"-$425,955,575.00","$37,122,360.00","-$49,916,935.00","-$1,165,021,555.00","-$1,886,524,020.00","-$1,228,465,510.00",Leveraged Equities,2009-06-25,0.89%,N/A,$1.08,2026-06-24,$0.30,0.71%,0.00,3.02,509,65.08%,40%,20%,1099,$130.67,$153.71,$151.39,$153.94,60.03,A,A,N/A,B+,B+,B,A,6.21,52.96%,38.00%,91.19,5.53%,5.07%
NVDL,GraniteShares 2x Long NVDA Daily ETF,"$3,694,580",18.76%,"20,172,598",$34.84,-0.31%,25.32%,14.01%,17.21%,91.70%,N/A,"-$1,468,068,505.37","-$173,792,500.00","-$604,263,900.00","-$1,208,196,405.37","$631,417,062.02","$745,330,262.02",Leveraged Equities,2022-12-13,1.05%,N/A,$0.00,2023-12-27,$1.68,0.00%,0.00,3.70,1,100.00%,40%,20%,1099,$27.01,$35.42,$34.00,$36.03,56.83,B+,A,N/A,A-,C+,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
TSLL,Direxion Daily TSLA Bull 2X ETF,"$3,147,660",-59.19%,"74,820,816",$7.68,-1.16%,6.52%,-41.01%,-29.24%,-18.39%,N/A,"$602,948,825.00","-$170,635,025.00","$455,765,175.00","-$3,174,879,650.00","$1,863,279,800.00","$2,590,372,750.00",Leveraged Equities,2022-08-09,0.83%,N/A,$0.98,2026-06-23,$0.10,12.81%,0.00,2.79,2,100.00%,40%,20%,1099,$4.96,$13.99,$7.49,$7.86,36.90,A-,A+,N/A,B+,C,A,N/A,5.62,28.06%,25.61%,8.97,0.00%,0.00%
BULZ,MicroSectors Solactive FANG & Innovation 3X Leveraged ETN,"$3,063,460",36.54%,"1,075,005",$35.44,-1.77%,22.08%,-7.68%,88.23%,67.12%,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,"$847,001,496.75",Leveraged Equities,2021-08-17,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,4.97,0,N/A,40%,20%,1099,$25.72,$40.48,$33.89,$36.78,50.46,B-,B+,N/A,A,C+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
